
|PKG_NAME                      |MODEL_NAME                                        |SCHEMA_NAME         |TABLE_NAME                              |
|wip-slowmove                  |AT_MOV_TYPE_DESC                                  |SAPABAP1            |T156T                                   |
|wip-slowmove                  |AT_MTART                                          |SAPABAP1            |T134                                    |
|wip-slowmove                  |AT_MTART                                          |SAPABAP1            |T134T                                   |
|wip-slowmove                  |AT_PLANT                                          |SAPABAP1            |T001W                                   |
|wip-slowmove                  |AT_STORAGE_LOCATION                               |SAPABAP1            |T001L                                   |
|wip-slowmove                  |AT_TCURX                                          |SAPABAP1            |TCURX                                   |
|wip-slowmove                  |CA_GET_MAT_LIST                                   |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_GET_MAT_LIST                                   |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_GET_MAT_LIST                                   |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_GET_MAT_LIST2                                  |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_GET_MAT_LIST2                                  |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_GET_MAT_LIST2                                  |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_GET_MAT_LIST2                                  |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_GET_MAT_LIST3                                  |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_GET_MAT_LIST3                                  |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_GET_MAT_LIST3                                  |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_GET_MAT_LIST4                                  |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_GET_MAT_LIST4                                  |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_GET_MAT_LIST4                                  |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_GET_MAT_LIST4                                  |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_GET_MAT_LIST5                                  |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_GET_MAT_LIST5                                  |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_GET_MAT_LIST5                                  |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_GET_MAT_LIST5                                  |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_MARDH_OPBAL                                    |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_MARDH_OPBAL                                    |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_MARDH_OPBAL                                    |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_MARDH_TD                                       |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_MARDH_TD                                       |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_MARDH_TD                                       |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_MARDH_TD2                                      |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_MARDH_TD2                                      |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_MARDH_TD2                                      |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_MARDH_TD3                                      |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_MARDH_TD3                                      |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_MARDH_TD3                                      |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_MARDH_TD3                                      |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_MARDH_TD4                                      |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_MARDH_TD4                                      |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_MARDH_TD4                                      |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_MARDH_TD4                                      |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_MARD_MAX_DATE                                  |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_MARD_MAX_DATE                                  |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_MARD_MAX_DATE                                  |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_MARD_MAX_DATE                                  |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_MARD_MAX_DATE                                  |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_MARD_MAX_DATE                                  |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_MARD_MAX_DATE_OPBAL                            |SAPABAP1            |MARD                                    |
